"Code","Primary Role Name","Geographic Local Authority Name"
"NTPD3","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF TOWER HAMLETS"
"NT254","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NXX23","INDEPENDENT SECTOR H/C PROVIDER SITE","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"NXX24","INDEPENDENT SECTOR H/C PROVIDER SITE","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"NXX25","INDEPENDENT SECTOR H/C PROVIDER SITE","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"NV199","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BRENT"
"NV198","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BRENT"
"NV1A1","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF ENFIELD"
"NV1A2","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF ENFIELD"
"NV1A3","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF ENFIELD"
"NV1A4","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF GREENWICH"
"NV1A5","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF GREENWICH"
"NV1A6","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"NV1A7","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"NV1A9","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF WALTHAM FOREST"
"NV1A0","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF WALTHAM FOREST"
"NV1C1","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF MERTON"
"NV1C2","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF WANDSWORTH"
"NV1C3","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF WANDSWORTH"
"NV1C4","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF ISLINGTON"
"NV1C5","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF KENSINGTON AND CHELSEA"
"NT424","INDEPENDENT SECTOR H/C PROVIDER SITE","COVENTRY CITY COUNCIL"
"NLY09","INDEPENDENT SECTOR H/C PROVIDER SITE","SWINDON BOROUGH COUNCIL"
"NT455","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NT445","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"NT446","INDEPENDENT SECTOR H/C PROVIDER SITE","SUFFOLK COUNTY COUNCIL"
"RJZ","NHS TRUST","LONDON BOROUGH OF LAMBETH"
"NTN18","INDEPENDENT SECTOR H/C PROVIDER SITE","BURY METROPOLITAN BOROUGH COUNCIL"
"NTN19","INDEPENDENT SECTOR H/C PROVIDER SITE","BURY METROPOLITAN BOROUGH COUNCIL"
"NT133","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST SUSSEX COUNTY COUNCIL"
"NMR01","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF WANDSWORTH"
"NMT01","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTHUMBERLAND COUNTY COUNCIL"
"NMV01","INDEPENDENT SECTOR H/C PROVIDER SITE","CAMBRIDGESHIRE COUNTY COUNCIL"
"NMW01","INDEPENDENT SECTOR H/C PROVIDER SITE","LIVERPOOL CITY COUNCIL"
"NMX01","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST SUSSEX COUNTY COUNCIL"
"NMY01","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NV1C6","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF WANDSWORTH"
"NVF01","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKPOOL BOROUGH COUNCIL"
"NY401","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKPOOL BOROUGH COUNCIL"
"NV1A8","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HOUNSLOW"
"NT953","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NT954","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NT955","INDEPENDENT SECTOR H/C PROVIDER SITE","STAFFORDSHIRE COUNTY COUNCIL"
"NT956","INDEPENDENT SECTOR H/C PROVIDER SITE","DARLINGTON BOROUGH COUNCIL"
"NT957","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NT958","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"NT959","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF KINGSTON UPON THAMES"
"NT960","INDEPENDENT SECTOR H/C PROVIDER SITE","HAMPSHIRE COUNTY COUNCIL"
"NT961","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NT962","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"NT963","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BEXLEY"
"NT964","INDEPENDENT SECTOR H/C PROVIDER SITE","SOMERSET COUNCIL"
"NT965","INDEPENDENT SECTOR H/C PROVIDER SITE","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"NT966","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"NT967","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HOUNSLOW"
"NT935","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NXA01","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST SUSSEX COUNTY COUNCIL"
"RWJ","NHS TRUST","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"NTM16","INDEPENDENT SECTOR H/C PROVIDER SITE","SEFTON METROPOLITAN BOROUGH COUNCIL"
"NP001","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BEXLEY"
"NQ001","INDEPENDENT SECTOR H/C PROVIDER SITE","WORCESTERSHIRE COUNTY COUNCIL"
"RVJ","NHS TRUST","BRISTOL CITY COUNCIL"
"NPT04","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF EALING"
"NQC01","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HACKNEY"
"NTT09","INDEPENDENT SECTOR H/C PROVIDER SITE","STOKE-ON-TRENT CITY COUNCIL"
"NYG02","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST SUSSEX COUNTY COUNCIL"
"NT343","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"NQH01","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"RY3","NHS TRUST","NORFOLK COUNTY COUNCIL"
"NNM01","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTHAMPTON CITY COUNCIL"
"NX202","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NX203","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NX204","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NX207","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"RT3","NHS TRUST","ROYAL BOROUGH OF KENSINGTON AND CHELSEA"
"NVC41","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"NQM01","INDEPENDENT SECTOR H/C PROVIDER SITE","PETERBOROUGH CITY COUNCIL"
"NQ702","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ703","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ704","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ705","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ706","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ707","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ708","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ709","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ710","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ711","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ712","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ713","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ714","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ715","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ716","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ717","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ718","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ719","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NYD01","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF SUTTON"
"NV1E6","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTHAMPTON CITY COUNCIL"
"NMG16","INDEPENDENT SECTOR H/C PROVIDER SITE","GATESHEAD METROPOLITAN BOROUGH COUNCIL"
"NVC44","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"NV1E7","INDEPENDENT SECTOR H/C PROVIDER SITE","STAFFORDSHIRE COUNTY COUNCIL"
"NNC02","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTHAMPTON CITY COUNCIL"
"NNC03","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTHAMPTON CITY COUNCIL"
"NNC04","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTHAMPTON CITY COUNCIL"
"NTPC2","INDEPENDENT SECTOR H/C PROVIDER SITE","READING BOROUGH COUNCIL"
"NTPL1","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NTPL2","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NTPL3","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NTPL4","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NTPL8","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NVJ03","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKPOOL BOROUGH COUNCIL"
"NV1C8","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF LAMBETH"
"NV1F1","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF SOUTHWARK"
"NNF29","INDEPENDENT SECTOR H/C PROVIDER SITE","HULL CITY COUNCIL"
"NQR01","INDEPENDENT SECTOR H/C PROVIDER SITE","HEREFORDSHIRE COUNCIL"
"NQR02","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"NQR03","INDEPENDENT SECTOR H/C PROVIDER SITE","SUNDERLAND CITY COUNCIL"
"NQR04","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH YORKSHIRE COUNCIL"
"NQR05","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"NQ776","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ777","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ778","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ779","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NV001","INDEPENDENT SECTOR H/C PROVIDER SITE","HULL CITY COUNCIL"
"NT001","INDEPENDENT SECTOR H/C PROVIDER SITE","HULL CITY COUNCIL"
"RAE","NHS TRUST","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"NVV01","INDEPENDENT SECTOR H/C PROVIDER SITE","HULL CITY COUNCIL"
"NW001","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"NVF03","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"RWP","NHS TRUST","WORCESTERSHIRE COUNTY COUNCIL"
"RJ1","NHS TRUST","LONDON BOROUGH OF LAMBETH"
"NV323","INDEPENDENT SECTOR H/C PROVIDER SITE","READING BOROUGH COUNCIL"
"NL207","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"RP5","NHS TRUST","DONCASTER METROPOLITAN BOROUGH COUNCIL"
"NY001","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NR539","INDEPENDENT SECTOR H/C PROVIDER SITE","PLYMOUTH CITY COUNCIL"
"NAE01","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NAE02","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF EALING"
"NAF01","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"NRH01","INDEPENDENT SECTOR H/C PROVIDER SITE","DEVON COUNTY COUNCIL"
"NTP75","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE EAST COUNCIL"
"NTP74","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE EAST COUNCIL"
"NTP76","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE EAST COUNCIL"
"NTP77","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE EAST COUNCIL"
"NTP78","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE EAST COUNCIL"
"NFD01","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF RICHMOND UPON THAMES"
"NFE01","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST NORTHAMPTONSHIRE COUNCIL"
"NFF01","INDEPENDENT SECTOR H/C PROVIDER SITE","HAMPSHIRE COUNTY COUNCIL"
"NFG01","INDEPENDENT SECTOR H/C PROVIDER SITE","MIDDLESBROUGH BOROUGH COUNCIL"
"NTX05","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"NTX06","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"RY9","NHS TRUST","LONDON BOROUGH OF RICHMOND UPON THAMES"
"NQH04","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"NQH05","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"NQH07","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"NQH06","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"NT360","INDEPENDENT SECTOR H/C PROVIDER SITE","BURY METROPOLITAN BOROUGH COUNCIL"
"NT146","INDEPENDENT SECTOR H/C PROVIDER SITE","NEWCASTLE CITY COUNCIL"
"RW1","NHS TRUST","HAMPSHIRE COUNTY COUNCIL"
"NQ720","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ721","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ722","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ723","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NQ724","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"NT346","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"NT347","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKPOOL BOROUGH COUNCIL"
"NT348","INDEPENDENT SECTOR H/C PROVIDER SITE","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"NT350","INDEPENDENT SECTOR H/C PROVIDER SITE","LEEDS CITY COUNCIL"
"NT351","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST RIDING OF YORKSHIRE COUNCIL"
"NQL01","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NQL03","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NQL05","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NQL08","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NQL09","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NQL10","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NQL11","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NTM19","INDEPENDENT SECTOR H/C PROVIDER SITE","WARRINGTON BOROUGH COUNCIL"
"NV1E8","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF WANDSWORTH"
"NY608","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAMSHIRE COUNTY COUNCIL"
"NTN01","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"NTP18","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NTP19","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NYV01","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE EAST COUNCIL"
"NV1C7","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF WANDSWORTH"
"RLT","NHS TRUST","WARWICKSHIRE COUNTY COUNCIL"
"NX102","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"NX103","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"NX104","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"NX105","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"NX106","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"NX107","INDEPENDENT SECTOR H/C PROVIDER SITE","READING BOROUGH COUNCIL"
"NW607","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NW608","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NMM01","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NMN01","INDEPENDENT SECTOR H/C PROVIDER SITE","WIRRAL BOROUGH COUNCIL"
"NMN02","INDEPENDENT SECTOR H/C PROVIDER SITE","WIRRAL BOROUGH COUNCIL"
"NMP01","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NT155","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST SUSSEX COUNTY COUNCIL"
"NTP59","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF EALING"
"NTP60","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BRENT"
"RBL","NHS TRUST","WIRRAL BOROUGH COUNCIL"
"RTF","NHS TRUST","NORTH TYNESIDE COUNCIL"
"RN5","NHS TRUST","HAMPSHIRE COUNTY COUNCIL"
"NP703","INDEPENDENT SECTOR H/C PROVIDER SITE","CORNWALL COUNCIL"
"NP702","INDEPENDENT SECTOR H/C PROVIDER SITE","CORNWALL COUNCIL"
"NPC02","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"NPC01","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"NPC03","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"NPC04","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"RDE","NHS TRUST","ESSEX COUNTY COUNCIL"
"RMC","NHS TRUST","BOLTON METROPOLITAN BOROUGH COUNCIL"
"RL1","NHS TRUST","SHROPSHIRE COUNCIL"
"NTG19","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NTG06","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NTG07","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH GLOUCESTERSHIRE COUNCIL"
"NTG05","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF LAMBETH"
"NTG29","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NTG03","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF CAMDEN"
"NTG32","INDEPENDENT SECTOR H/C PROVIDER SITE","GLOUCESTERSHIRE COUNTY COUNCIL"
"NTG37","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH GLOUCESTERSHIRE COUNCIL"
"NTG38","INDEPENDENT SECTOR H/C PROVIDER SITE","SWINDON BOROUGH COUNCIL"
"NTG35","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKPOOL BOROUGH COUNCIL"
"NTG39","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"NNW13","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH NORTHAMPTONSHIRE COUNCIL"
"NAK01","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH LINCOLNSHIRE COUNCIL"
"NAK02","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH LINCOLNSHIRE COUNCIL"
"NAK03","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH LINCOLNSHIRE COUNCIL"
"NQ114","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"NQV05","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"NQV03","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"NQV04","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"NV1H7","INDEPENDENT SECTOR H/C PROVIDER SITE","KIRKLEES COUNCIL"
"NV1H8","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST SUSSEX COUNTY COUNCIL"
"NTP73","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"NY625","INDEPENDENT SECTOR H/C PROVIDER SITE","SHEFFIELD CITY COUNCIL"
"NAA01","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA02","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA03","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA04","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA05","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA06","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA07","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA08","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA09","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA10","INDEPENDENT SECTOR H/C PROVIDER SITE","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"NAA11","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"NRF06","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTHAMPTON CITY COUNCIL"
"NLX12","INDEPENDENT SECTOR H/C PROVIDER SITE","BATH AND NORTH EAST SOMERSET COUNCIL"
"NX139","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"RV5","NHS TRUST","LONDON BOROUGH OF BROMLEY"
"RHA","NHS TRUST","NOTTINGHAM CITY COUNCIL"
"NLX14","INDEPENDENT SECTOR H/C PROVIDER SITE","BATH AND NORTH EAST SOMERSET COUNCIL"
"NLX15","INDEPENDENT SECTOR H/C PROVIDER SITE","BATH AND NORTH EAST SOMERSET COUNCIL"
"NL302","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NAJ01","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST RIDING OF YORKSHIRE COUNCIL"
"NL304","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NL306","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NL305","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NL308","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NL310","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NWE05","INDEPENDENT SECTOR H/C PROVIDER SITE","PLYMOUTH CITY COUNCIL"
"NLT01","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH SOMERSET COUNCIL"
"NAL01","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF NEWHAM"
"NV1H9","INDEPENDENT SECTOR H/C PROVIDER SITE","HAMPSHIRE COUNTY COUNCIL"
"NV1J1","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NV1J2","INDEPENDENT SECTOR H/C PROVIDER SITE","STOKE-ON-TRENT CITY COUNCIL"
"NV1J3","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAM CITY COUNCIL"
"NV1J4","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NV1J5","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NV1J6","INDEPENDENT SECTOR H/C PROVIDER SITE","SUFFOLK COUNTY COUNCIL"
"NV1J7","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST SUSSEX COUNTY COUNCIL"
